time_period,time_identifier,geographic_level,country_code,country_name,missing_status,breakdown,number
2025,Reporting year,National,E92000001,England,Age of children missing from placement,1 to 4 years,20
2025,Reporting year,National,E92000001,England,Age of children missing from placement,10 to 15 years,38060
2025,Reporting year,National,E92000001,England,Age of children missing from placement,16 years and over,48690
2025,Reporting year,National,E92000001,England,Age of children missing from placement,5 to 9 years,120
2025,Reporting year,National,E92000001,England,Age of children missing from placement,Total incidents,86900
2025,Reporting year,National,E92000001,England,Age of children missing from placement,Under 1 year,10
2025,Reporting year,National,E92000001,England,Children missing from placement,All children looked after during the year,115410
2025,Reporting year,National,E92000001,England,Children missing from placement ,Average (mean) number of days per missing incident,1.6
2025,Reporting year,National,E92000001,England,Children missing from placement ,Average (median) number of days per missing incident,1
2025,Reporting year,National,E92000001,England,Children missing from placement,Average number of incidents per looked after child who was missing,6.8
2025,Reporting year,National,E92000001,England,Children missing from placement,Children missing more than once during the year,8210
2025,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March,220
2025,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March who were unaccompanied asylum-seeking children,40
2025,Reporting year,National,E92000001,England,Children missing from placement,Percentage of children looked after during the year who were missing,11
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,African,860
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Asian background,450
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Black background,270
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Mixed background,490
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other White background,520
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Bangladeshi,60
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Caribbean,340
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Chinese,c
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Gypsy Roma,90
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Indian,30
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Information not yet obtained,40
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Pakistani,130
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Refused,10
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Asian or Asian British,680
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,"Total Black, African, Caribbean or Black British",1470
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total children who were missing during the year,12720
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Mixed or Multiple ethnic groups,1420
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total other ethnic group,820
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total refused or information not yet available,50
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total White,8270
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Traveller of Irish Heritage,30
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Asian,210
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black African,180
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black Caribbean,540
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White British,7610
2025,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White Irish,30
2025,Reporting year,National,E92000001,England,Children missing from placement by sex,Females,5680
2025,Reporting year,National,E92000001,England,Children missing from placement by sex,Males,7040
2025,Reporting year,National,E92000001,England,Children missing from placement by sex,Total children who were missing during the year,12720
2025,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 1 and 2 days,50590
2025,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 11 and 15 days,390
2025,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 16 and 20 days,160
2025,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 21 and 30 days,150
2025,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 3 and 7 days,6540
2025,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 8 and 10 days,570
2025,Reporting year,National,E92000001,England,Durations of missing from placement periods,Less than 1 day,28230
2025,Reporting year,National,E92000001,England,Durations of missing from placement periods,More than 30 days,270
2025,Reporting year,National,E92000001,England,Durations of missing from placement periods,Total incidents,86900
2025,Reporting year,National,E92000001,England,Missing from placement incidents,Total number of missing incidents during the year,86900
2025,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement inside council boundary,43760
2025,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement outside council boundary,43140
2025,Reporting year,National,E92000001,England,Placement locations from which children were missing,Total incidents,86900
2025,Reporting year,National,E92000001,England,Placements from which children were missing,1: Foster placements,14180
2025,Reporting year,National,E92000001,England,Placements from which children were missing,2: Adoption,0
2025,Reporting year,National,E92000001,England,Placements from which children were missing,3: Placed with parents or other person with parental responsibility,1280
2025,Reporting year,National,E92000001,England,Placements from which children were missing,4: Secure homes and children's homes,30660
2025,Reporting year,National,E92000001,England,Placements from which children were missing,5: Independent and semi-independent living arrangements/ supported accommodation,27140
2025,Reporting year,National,E92000001,England,Placements from which children were missing,6:Other placements,13650
2025,Reporting year,National,E92000001,England,Placements from which children were missing,Total incidents,86900
2024,Reporting year,National,E92000001,England,Age of children missing from placement,1 to 4 years,30
2024,Reporting year,National,E92000001,England,Age of children missing from placement,10 to 15 years,37340
2024,Reporting year,National,E92000001,England,Age of children missing from placement,16 years and over,46410
2024,Reporting year,National,E92000001,England,Age of children missing from placement,5 to 9 years,120
2024,Reporting year,National,E92000001,England,Age of children missing from placement,Total incidents,83920
2024,Reporting year,National,E92000001,England,Age of children missing from placement,Under 1 year,10
2024,Reporting year,National,E92000001,England,Children missing from placement,All children looked after during the year,116470
2024,Reporting year,National,E92000001,England,Children missing from placement ,Average (mean) number of days per missing incident,1.8
2024,Reporting year,National,E92000001,England,Children missing from placement ,Average (median) number of days per missing incident,1
2024,Reporting year,National,E92000001,England,Children missing from placement,Average number of incidents per looked after child who was missing,6.5
2024,Reporting year,National,E92000001,England,Children missing from placement,Children missing more than once during the year,8200
2024,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March,240
2024,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March who were unaccompanied asylum-seeking children,70
2024,Reporting year,National,E92000001,England,Children missing from placement,Percentage of children looked after during the year who were missing,11
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,African,790
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Asian background,490
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Black background,270
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Mixed background,490
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other White background,580
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Bangladeshi,60
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Caribbean,360
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Chinese,10
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Gypsy Roma,80
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Indian,30
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Information not yet obtained,40
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Pakistani,140
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Refused,10
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Asian or Asian British,730
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,"Total Black, African, Caribbean or Black British",1410
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total children who were missing during the year,13000
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Mixed or Multiple ethnic groups,1420
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total other ethnic group,870
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total refused or information not yet available,50
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total White,8520
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Traveller of Irish Heritage,40
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Asian,230
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black African,180
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black Caribbean,520
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White British,7790
2024,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White Irish,40
2024,Reporting year,National,E92000001,England,Children missing from placement by sex,Females,5670
2024,Reporting year,National,E92000001,England,Children missing from placement by sex,Males,7330
2024,Reporting year,National,E92000001,England,Children missing from placement by sex,Total children who were missing during the year,13000
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 1 and 2 days,47470
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 11 and 15 days,420
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 16 and 20 days,180
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 21 and 30 days,180
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 3 and 7 days,6640
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 8 and 10 days,650
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Less than 1 day,28010
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,More than 30 days,370
2024,Reporting year,National,E92000001,England,Durations of missing from placement periods,Total incidents,83920
2024,Reporting year,National,E92000001,England,Missing from placement incidents,Total number of missing incidents during the year,83920
2024,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement inside council boundary,45170
2024,Reporting year,National,E92000001,England,Placement locations from which children were missing,Missing from placement outside council boundary,38750
