Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration 
E06000001,Hartlepool,22581.98,21,35.037,9,0.3621,9,0.4973,13,32560.44,8
E06000002,Middlesbrough,23729.10,14,40.460,5,0.4884,1,0.5710,6,32726.13,3
E06000003,Redcar and Cleveland,20348.40,48,29.792,31,0.2386,23,0.3630,33,32545.62,9
E06000004,Stockton-on-Tees,17541.72,76,25.790,56,0.2083,32,0.3024,46,32301.09,18
E06000005,Darlington,18284.63,73,25.657,59,0.1846,37,0.2891,52,32173.97,24
E06000006,Halton,21746.16,31,32.325,19,0.3165,12,0.4678,20,32282.99,20
E06000007,Warrington,14277.87,109,18.942,95,0.0787,69,0.1837,76,30359.39,70
E06000008,Blackburn with Darwen,23819.60,12,36.013,8,0.3626,8,0.5519,7,32396.85,13
E06000009,Blackpool,26765.29,1,45.039,1,0.4149,6,0.5766,5,32838.16,1
E06000010,"Kingston upon Hull, City of",25222.75,9,40.564,4,0.4518,4,0.5505,8,32621.01,6
E06000011,East Riding of Yorkshire,12095.08,124,15.605,122,0.0619,75,0.0891,109,29289.45,88
E06000012,North East Lincolnshire,20177.27,51,31.335,25,0.3019,15,0.3858,28,32690.91,4
E06000013,North Lincolnshire,17200.38,79,22.096,79,0.1089,58,0.2043,71,30774.98,64
E06000014,York,9092.16,143,11.727,140,0.0083,119,0.0540,122,26241.63,123
E06000015,Derby,18953.77,64,26.323,53,0.1589,42,0.3427,36,31540.94,46
E06000016,Leicester,22857.96,19,30.877,26,0.2031,34,0.3713,30,31842.02,34
E06000017,Rutland,6306.80,149,8.381,149,0.0000,130,0.0000,149,15263.23,150
E06000018,Nottingham,24458.51,10,34.891,10,0.3077,13,0.5235,10,31909.18,31
E06000019,"Herefordshire, County of",16384.76,88,18.890,97,0.0086,117,0.0687,118,27379.09,115
E06000020,Telford and Wrekin,18583.53,71,24.988,65,0.1667,39,0.2605,60,31750.35,36
E06000021,Stoke-on-Trent,23797.05,13,34.504,13,0.3208,11,0.5073,11,32056.84,26
E06000022,Bath and North East Somerset,9260.09,141,11.745,139,0.0174,109,0.0402,132,25201.75,133
E06000023,"Bristol, City of",19421.68,59,26.363,51,0.1559,46,0.2880,54,31869.61,32
E06000024,North Somerset,11811.57,128,15.825,119,0.0593,76,0.1151,102,30424.94,68
E06000025,South Gloucestershire,9595.66,139,11.660,141,0.0000,130,0.0126,141,22617.29,141
E06000026,Plymouth,19859.59,52,26.619,50,0.1739,38,0.3060,43,31468.47,48
