LA,LA Name,LineNumber,CYPServiceDescription,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
201,City of London,1,Spend by individual Sure Start Children's Centres,0,0,483719,0,483719,100721,382998,0,0,382998
202,Camden,1,Spend by individual Sure Start Children's Centres,4975219,29180,0,99482,5103881,782259,4321622,335989,0,3985633
203,Greenwich,1,Spend by individual Sure Start Children's Centres,6505131,0,0,160519,6665650,738391,5927259,0,0,5927259
204,Hackney,1,Spend by individual Sure Start Children's Centres,10574650,251900,730,279870,11107150,1146430,9960720,0,0,9960720
205,Hammersmith and Fulham,1,Spend by individual Sure Start Children's Centres,395625,1241223,970750,0,2607598,0,2607598,0,0,2607598
206,Islington,1,Spend by individual Sure Start Children's Centres,6193420,350891,806818,3354300,10705429,1311809,9393620,89955,0,9303665
207,Kensington and Chelsea,1,Spend by individual Sure Start Children's Centres,3138033.41,0,0,0,3138033.41,1168522.23,1969511.18,0,2354.77,1967156.41
208,Lambeth,1,Spend by individual Sure Start Children's Centres,3537838,5629125,0,0,9166963,486751,8680212,0,8680212,0
209,Lewisham,1,Spend by individual Sure Start Children's Centres,2669553,0,582432,488615,3740600,92694,3647906,0,0,3647906
210,Southwark,1,Spend by individual Sure Start Children's Centres,2100225,182146,3351,80607,2366329,113623,2252706,0,87349,2165357
211,Tower Hamlets,1,Spend by individual Sure Start Children's Centres,0,0,7966454,0,7966454,6602,7959852,0,0,7959852
212,Wandsworth,1,Spend by individual Sure Start Children's Centres,2340531,0,0,0,2340531,0,2340531,0,0,2340531
213,Westminster,1,Spend by individual Sure Start Children's Centres,1904402,0,0,0,1904402,645,1903757,1759238,0,144519
301,Barking and Dagenham,1,Spend by individual Sure Start Children's Centres,6280058,1256304,0,0,7536362,1071040,6465322,230203,0,6235119
302,Barnet,1,Spend by individual Sure Start Children's Centres,2042596,3151470,0,0,5194066,500707,4693359,0,0,4693359
303,Bexley,1,Spend by individual Sure Start Children's Centres,2341000,572000,0,0,2913000,0,2913000,0,0,2913000
304,Brent,1,Spend by individual Sure Start Children's Centres,5797394,0,0,0,5797394,511884,5285510,0,0,5285510
305,Bromley,1,Spend by individual Sure Start Children's Centres,1028296.61,0,0,18620,1046916.61,398464.4,648452.21,0,0,648452.21
306,Croydon,1,Spend by individual Sure Start Children's Centres,104952,146595,0,4477004,4728551,0,4728551,0,0,4728551
307,Ealing,1,Spend by individual Sure Start Children's Centres,1615709,1018771,631844,171271,3437595,0,3437595,5264,0,3432331
308,Enfield,1,Spend by individual Sure Start Children's Centres,4555059,227451,0,0,4782510,543860,4238650,174950,0,4063700
309,Haringey,1,Spend by individual Sure Start Children's Centres,6208043,0,0,0,6208043,906589,5301454,0,0,5301454
310,Harrow,1,Spend by individual Sure Start Children's Centres,1123878,25354,0,24244,1173476,84297,1089179,0,0,1089179
311,Havering,1,Spend by individual Sure Start Children's Centres,3382593,0,0,0,3382593,32415,3350178,0,0,3350178
312,Hillingdon,1,Spend by individual Sure Start Children's Centres,751513.18,2867477.76,0,0,3618990.94,634413.18,2984577.76,2984577.76,0,0
313,Hounslow,1,Spend by individual Sure Start Children's Centres,1714544,0,0,0,1714544,31931,1682613,0,0,1682613
314,Kingston upon Thames,1,Spend by individual Sure Start Children's Centres,1478798,0,0,0,1478798,210180,1268618,0,0,1268618
315,Merton,1,Spend by individual Sure Start Children's Centres,2515482,1646418,535,40000,4202435,747063,3455372,3006728,0,448644
316,Newham,1,Spend by individual Sure Start Children's Centres,5845363,0,0,0,5845363,66271,5779092,0,0,5779092
317,Redbridge,1,Spend by individual Sure Start Children's Centres,4415578,0,0,0,4415578,991254,3424324,2487140,0,937184
318,Richmond upon Thames,1,Spend by individual Sure Start Children's Centres,677869,0,51408,136000,865277,200,865077,8565,0,856512
319,Sutton,1,Spend by individual Sure Start Children's Centres,427774,0,0,1378611,1806385,45836,1760549,0,0,1760549
320,Waltham Forest,1,Spend by individual Sure Start Children's Centres,4405342,0,0,0,4405342,0,4405342,0,0,4405342
330,Birmingham,1,Spend by individual Sure Start Children's Centres,25872514,192201,0,5288628,31353343,1514771,29838572,29838572,0,0
331,Coventry,1,Spend by individual Sure Start Children's Centres,6653071,431808,0,215904,7300783,707377,6593406,478116,0,6115290
332,Dudley,1,Spend by individual Sure Start Children's Centres,4914356,0,0,1885609,6799965,863859,5936106,0,0,5936106
333,Sandwell,1,Spend by individual Sure Start Children's Centres,0,0,0,0,0,0,0,0,0,0
334,Solihull,1,Spend by individual Sure Start Children's Centres,1375416,0,0,1404702,2780118,29800,2750318,0,0,2750318
