LA,LA Name,LineNumber,CYPServiceDescription,ReportGroup,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
201,City of London,1,1 Spend by individual Sure Start Children's Centres ,SURE START CHILDREN'S CENTRES,0,0,516305,0,516305,111246,405059,0,0,405059
201,City of London,2,2 Spend on local authority provided or commissioned area-wide services delivered through Sure Start Children’s Centres,SURE START CHILDREN'S CENTRES,0,0,0,0,0,0,0,0,0,0
201,City of London,3,3 Other early years funding,SURE START CHILDREN'S CENTRES,0,0,959350,0,959350,0,959350,1128482,0,-169132
201,City of London,4,4 Total Sure Start Children's Centres,SURE START CHILDREN'S CENTRES,0,0,1475655,0,1475655,111246,1364409,1128482,0,235927
201,City of London,5,5 Residential care,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
201,City of London,6,6 Fostering services,CHILDREN LOOKED AFTER,0,0,72526,0,72526,0,72526,0,0,72526
201,City of London,7,7 Adoption services,CHILDREN LOOKED AFTER,0,0,17608,0,17608,0,17608,17324,0,284
201,City of London,8,8 Special guardianship support,CHILDREN LOOKED AFTER,0,0,3008,0,3008,0,3008,0,0,3008
201,City of London,9,9 Other children looked after,CHILDREN LOOKED AFTER,0,0,116623,0,116623,0,116623,0,0,116623
201,City of London,10,10 Short breaks (respite) for looked after disabled children,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
201,City of London,11,11 Children placed with family and friends ,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
201,City of London,12,12  Education of looked after children,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
201,City of London,13,13 Leaving care support services ,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
201,City of London,14,14 Asylum seeker services - children,CHILDREN LOOKED AFTER,0,0,68951,0,68951,0,68951,0,0,68951
201,City of London,15,15 Total Children Looked After,CHILDREN LOOKED AFTER,0,0,278716,0,278716,0,278716,17324,0,261392
201,City of London,16,16 Other childrens and family services,OTHER CHILDREN'S AND FAMILIES SERVICES,0,0,387040,0,387040,0,387040,0,0,387040
201,City of London,17,17 Social work (includes LA functions in relation to child protection,20 Total  Safeguarding Children and Young People's Services,0,0,512164,0,512164,0,512164,0,0,512164
201,City of London,18,18 Comissioning and Children's Services Strategy,20 Total  Safeguarding Children and Young People's Services,0,0,116556,0,116556,0,116556,0,0,116556
201,City of London,19,"19 Local safeguarding childrens board	",20 Total  Safeguarding Children and Young People's Services,0,0,0,0,0,0,0,0,0,0
201,City of London,20,20 Total  Safeguarding Children and Young Peoples Services,CHILDREN AND YOUNG PEOPLES SAFETY,0,0,628720,0,628720,0,628720,0,0,628720
201,City of London,21,21 Direct payments,"FAMILY SUPPORT SERVICES	",0,0,0,0,0,0,0,0,0,0
201,City of London,22,22 Short breaks (respite) for disabled children,"FAMILY SUPPORT SERVICES	",0,0,0,0,0,0,0,0,0,0
201,City of London,23,23 Other support for disabled children,"FAMILY SUPPORT SERVICES	",0,0,32151,0,32151,0,32151,0,0,32151
201,City of London,24,24 Targeted family support,"FAMILY SUPPORT SERVICES	",0,0,148237,0,148237,0,148237,55600,0,92637
201,City of London,25,25 Universal family support,"FAMILY SUPPORT SERVICES	",0,0,420862,0,420862,0,420862,0,0,420862
201,City of London,26,26 Total Family Support Services,FAMILY SUPPORT SERVICES,0,0,601250,0,601250,0,601250,55600,0,545650
201,City of London,27,"27 Universal services for young people (including youth work, positive activities and information, advice and guidance)",SERVICES FOR YOUNG PEOPLE,0,0,0,0,0,0,0,0,0,0
201,City of London,28,"28 Targeted services for young people (including youth work, positive activities and information, advice and guidance)",SERVICES FOR YOUNG PEOPLE,0,0,0,0,0,0,0,0,0,0
201,City of London,29,"29 Total Services for Young People	",SERVICES FOR YOUNG PEOPLE,0,0,0,0,0,0,0,0,0,0
201,City of London,30,30 Youth Justice,YOUTH JUSTICE,,,,,0,0,0,,,
201,City of London,31,31 Capital Expenditure from Revenue (CERA) (Childrens and young people's services),YOUTH JUSTICE,,,,,0,0,0,,,
201,City of London,32,32 CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (Including CERA),SERVICES FOR YOUNG PEOPLE,,,,,3371381,111246,3260135,,,
201,City of London,33,33 CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (excluding CERA),SERVICES FOR YOUNG PEOPLE,,,,,3371381,111246,3260135,,,
201,City of London,34,"34 Substances misuse services (Drugs, alcohol and volatile substances)","SERVICES FOR YOUNG PEOPLE	
",,,,,0,,,,,
201,City of London,35,35 Teenage pregnancy services,"SERVICES FOR YOUNG PEOPLE	
",,,,,0,,,,,
202,Camden,1,1 Spend by individual Sure Start Children's Centres ,SURE START CHILDREN'S CENTRES,5024780,0,0,0,5024780,883191,4141589,0,0,4141589
202,Camden,2,2 Spend on local authority provided or commissioned area-wide services delivered through Sure Start Children’s Centres,SURE START CHILDREN'S CENTRES,783874,0,0,282114,1065988,535,1065453,0,0,1065453
202,Camden,3,3 Other early years funding,SURE START CHILDREN'S CENTRES,0,0,0,0,0,0,0,0,0,0
202,Camden,4,4 Total Sure Start Children's Centres,SURE START CHILDREN'S CENTRES,5808654,0,0,282114,6090768,883726,5207042,0,0,5207042
202,Camden,5,5 Residential care,CHILDREN LOOKED AFTER,0,2941913,0,770795,3712708,0,3712708,0,0,3712708
202,Camden,6,6 Fostering services,CHILDREN LOOKED AFTER,4226404,2640052,0,660013,7526469,55332,7471137,0,0,7471137
202,Camden,7,7 Adoption services,CHILDREN LOOKED AFTER,1267327,0,0,106209,1373536,77011,1296525,0,0,1296525
202,Camden,8,8 Special guardianship support,CHILDREN LOOKED AFTER,1326249,0,0,45518,1371767,33005,1338762,0,0,1338762
202,Camden,9,9 Other children looked after,CHILDREN LOOKED AFTER,596999,0,0,178652,775651,0,775651,0,0,775651
202,Camden,10,10 Short breaks (respite) for looked after disabled children,CHILDREN LOOKED AFTER,9642,0,0,0,9642,0,9642,0,0,9642
202,Camden,11,11 Children placed with family and friends ,CHILDREN LOOKED AFTER,325103,0,0,0,325103,0,325103,0,0,325103
202,Camden,12,12  Education of looked after children,CHILDREN LOOKED AFTER,2235969,49061,0,0,2285030,0,2285030,0,46800,2238230
202,Camden,13,13 Leaving care support services ,CHILDREN LOOKED AFTER,1380583,548285,0,0,1928868,0,1928868,0,0,1928868
202,Camden,14,14 Asylum seeker services - children,CHILDREN LOOKED AFTER,533492,113063,0,0,646555,0,646555,0,525687,120868
202,Camden,15,15 Total Children Looked After,CHILDREN LOOKED AFTER,11901768,6292374,0,1761187,19955329,165348,19789981,0,572487,19217494
202,Camden,16,16 Other childrens and family services,OTHER CHILDREN'S AND FAMILIES SERVICES,1298270,0,0,4987412,6285682,124818,6160864,0,0,6160864
202,Camden,17,17 Social work (includes LA functions in relation to child protection,20 Total  Safeguarding Children and Young People's Services,8903351,0,0,69123,8972474,806538,8165936,0,0,8165936
202,Camden,18,18 Comissioning and Children's Services Strategy,20 Total  Safeguarding Children and Young People's Services,2090817,52995,0,0,2143812,13546,2130266,0,0,2130266
202,Camden,19,"19 Local safeguarding childrens board	",20 Total  Safeguarding Children and Young People's Services,323520,0,0,0,323520,66454,257066,0,0,257066
202,Camden,20,20 Total  Safeguarding Children and Young Peoples Services,CHILDREN AND YOUNG PEOPLES SAFETY,11317688,52995,0,69123,11439806,886538,10553268,0,0,10553268
202,Camden,21,21 Direct payments,"FAMILY SUPPORT SERVICES	",902972,0,0,0,902972,30987,871985,0,0,871985
202,Camden,22,22 Short breaks (respite) for disabled children,"FAMILY SUPPORT SERVICES	",1198323,0,0,1050249,2248572,157184,2091388,0,0,2091388
202,Camden,23,23 Other support for disabled children,"FAMILY SUPPORT SERVICES	",123914,0,0,1227,125141,20907,104234,0,0,104234
202,Camden,24,24 Targeted family support,"FAMILY SUPPORT SERVICES	",1128790,0,1285195,162169,2576154,255166,2320988,0,0,2320988
202,Camden,25,25 Universal family support,"FAMILY SUPPORT SERVICES	",5693,0,0,48200,53893,0,53893,0,0,53893
202,Camden,26,26 Total Family Support Services,FAMILY SUPPORT SERVICES,3359692,0,1285195,1261845,5906732,464244,5442488,0,0,5442488
202,Camden,27,"27 Universal services for young people (including youth work, positive activities and information, advice and guidance)",SERVICES FOR YOUNG PEOPLE,2907294,0,0,373250,3280544,176970,3103574,0,0,3103574
