time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,393787809,55732011,22179626,76789958,548489404,80861682,467627722,5286061,762187,461579474,40
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,60023956,14248549,12013847,15322988,101609340,10236974,91372366,22000,4863,91345503,8
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,40318343,108731,136546,39637,40603256,2288533,38314723,547412,17995,37749316,3
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,139919043,5294563,958955,7079758,153252319,22935965,130316354,2624608,37090,127654656,11
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,634049151,75383855,35288973,99232341,843954320,116323154,727631166,8480081,822135,718328950,63
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.1 Residential care,342395240,696811489,24198833,39790643,1103196204,65799480,1037396724,6116861,539171,1030740692,89
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.2 Total Fostering services,845465208,649554601,21163067,51407505,1567590381,40019035,1527571346,26478557,1246735,1499846054,132
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.3 Adoption services,266402230,27521555,14990007,7041158,315954951,33796984,282157967,14126136,3214782,264817048,24
