Table 4a: List of new children's homes registrations (joiners) between 1 April 2017 and 31 March 2018,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Registration date
1234990,Children's home,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Voluntary,14,02/05/2017
1240843,Children's home,North West,North West,Blackpool,Private,2,23/10/2017
1243962,Children's home,West Midlands,West Midlands,Staffordshire,Health Authority,6,13/11/2017
1244108,Children's home,South East,South East,Kent,Private,3,20/06/2017
1244386,Children's home,London,London,Croydon,Private,5,08/06/2017
1247244,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,3,02/05/2017
1248509,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,2,24/04/2017
1249034,Children's home,West Midlands,West Midlands,Staffordshire,Private,1,11/08/2017
1249123,Children's home,North West,North West,Westmorland and Furness,Private,6,15/05/2017
1249183,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Private,4,24/04/2017
1249715,Children's home,South East,South East,Hampshire,Private,4,11/04/2017
1250186,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,4,17/05/2017
1250194,Children's home,South East,South East,West Sussex,Private,4,05/07/2017
1250196,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Private,2,04/05/2017
1250287,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,23/06/2017
1250521,Children's home,South East,South East,Kent,Private,4,09/05/2017
1250842,Children's home,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Voluntary,3,02/05/2017
1251364,Children's home,London,London,Camden,Private,6,26/05/2017
1251947,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,10/04/2017
1252023,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,07/06/2017
1252120,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,6,19/05/2017
1253008,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Private,2,08/06/2017
1253583,Children's home,South West,South West,Devon,Private,4,25/05/2017
1253623,Children's home,West Midlands,West Midlands,Birmingham,Private,2,07/07/2017
1253711,Children's home,West Midlands,West Midlands,Birmingham,Private,3,10/07/2017
1253862,Children's home,"North East, Yorkshire and the Humber",North East,Middlesbrough,Health Authority,6,21/08/2017
1253865,Children's home,"North East, Yorkshire and the Humber",North East,Darlington,Health Authority,5,21/08/2017
1253975,Children's home,North West,North West,Lancashire,Private,2,26/06/2017
1254055,Children's home,North West,North West,Blackpool,Private,4,21/08/2017
1254109,Children's home,East Midlands,East Midlands,Lincolnshire,Private,15,18/05/2017
1254258,Children's home,North West,North West,Westmorland and Furness,Private,4,16/05/2017
1254308,Children's home,East Midlands,East Midlands,Derbyshire,Private,5,24/05/2017
1254316,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kingston upon Hull,Private,4,06/09/2017
1254371,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,7,01/08/2017
1254555,Children's home,North West,North West,Lancashire,Private,2,10/04/2017
1254701,Children's home,London,London,Waltham Forest,Private,3,04/05/2017
1254740,Children's home,South West,South West,Plymouth,Private,2,07/04/2017
1254745,Children's home,East Midlands,East Midlands,Nottingham,Private,5,24/05/2017
1254780,Children's home,West Midlands,West Midlands,Walsall,Private,4,17/07/2017
1254782,Children's home,South East,South East,Hampshire,Local Authority,4,09/06/2017
1254840,Children's home,West Midlands,West Midlands,Wolverhampton,Private,3,05/01/2018
1254864,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,3,24/05/2017
1255095,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,04/07/2017
1255139,Children's home,East Midlands,East Midlands,Nottingham,Private,6,24/05/2017
1255147,Children's home,West Midlands,West Midlands,Shropshire,Private,8,29/06/2017
1255407,Children's home,South West,South West,Devon,Private,4,18/09/2017
1255520,Children's home,North West,North West,Lancashire,Private,3,10/07/2017
1255743,Children's home,East Midlands,East Midlands,Derby,Private,5,24/05/2017
1255744,Children's home,West Midlands,West Midlands,Worcestershire,Private,3,24/05/2017
1255745,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,5,24/05/2017
1255746,Children's home,East of England,East of England,Bedford,Private,5,24/05/2017
1255747,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,5,24/05/2017
1255748,Children's home,East Midlands,East Midlands,Nottingham,Private,5,24/05/2017
1255800,Children's home,North West,North West,Manchester,Private,2,02/11/2017
1255823,Children's home,South East,South East,Hampshire,Local Authority,5,20/06/2017
1256058,Children's home,South East,South East,Oxfordshire,Private,5,24/05/2017
1256059,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,5,24/05/2017
1256060,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,5,24/05/2017
1256061,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,5,24/05/2017
1256134,Children's home,North West,North West,Oldham,Private,4,07/06/2017
1256135,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,24/05/2017
1256364,Children's home,London,London,Newham,Private,7,14/07/2017
