Children's social care data in England 2025 – Leavers and Joiners at 31 March 2025,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table which begins in cell A4.,,,,,,,,,,,,,,,,,,,,,
Some cells in this table are empty because data was not provided to Ofsted. ,,,,,,,,,,,,,,,,,,,,,
URN,Provision type,Ofsted Region,Government Office Region,Local authority,Parliamentary constituency,Sector,Places,Supported accommodation premises,Short-break-only children's home,"
First effective date (that the provider became active)",First effective date (that the provider became resigned),First effective date (that the provider closed),First effective date (that the provider became cancelled),Joiner status,Leaver status,Registration status (as at 1 April 2024),Registration status (as at 31 March 2025),Inspectorate (as at 1 April 2024),Inspectorate (as at 31 March 2025),Setting name,Reason
1236453,Residential Holiday Scheme for Disabled Children,London,London,Southwark,Bermondsey and Old Southwark,Private,,,,15/07/2016,13/01/2025,13/01/2025,,,Leaver,Active,Resigned,,,Whizz-Kidz,"In previous year, not in current dataset (closed date in Year)"
1264538,Children's home,North West,North West,Lancashire,South Ribble,Private,3,,,17/10/2017,22/11/2024,22/11/2024,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
1275189,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Leeds,Leeds West and Pudsey,Private,1,,,07/07/2018,14/06/2024,14/06/2024,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
2527860,Children's home,North West,North West,Lancashire,Fylde,Private,1,,,24/07/2019,13/09/2024,13/09/2024,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
2544885,Children's home,London,London,Ealing,Ealing Southall,Private,4,,,01/08/2019,04/05/2024,04/05/2024,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
2548571,Children's home,West Midlands,West Midlands,Worcestershire,Droitwich and Evesham,Voluntary,4,,,01/10/2019,01/10/2024,01/10/2024,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
2549726,Children's home,West Midlands,West Midlands,Worcestershire,Wyre Forest,Voluntary,4,,Short breaks only,01/10/2019,01/10/2024,01/10/2024,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
2581296,Children's home,North West,North West,Rochdale,Rochdale,Private,1,,,04/03/2020,13/09/2024,13/09/2024,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
2590726,Children's home,North West,North West,Lancashire,Fylde,Private,2,,,14/07/2020,12/06/2024,12/06/2024,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
2674591,Children's home,West Midlands,West Midlands,Sandwell,Tipton and Wednesbury,Private,3,,,26/04/2022,15/08/2024,15/08/2024,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
2710826,Children's home,West Midlands,West Midlands,Herefordshire,North Herefordshire,Private,5,,,02/05/2024,,,,Joiner,,,Active,,,REDACTED,"In current dataset as active, not in previous year"
2736855,Children's home,South East,South East,East Sussex,Sussex Weald,Private,3,,,09/04/2024,,,,Joiner,,,Active,,,REDACTED,"In current dataset as active, not in previous year"
2738013,Children's home,South East,South East,Surrey,Godalming and Ash,Private,3,,,19/04/2024,,,,Joiner,,,Active,,,REDACTED,"In current dataset as active, not in previous year"
2746893,Children's home,North West,North West,Lancashire,Burnley,Private,4,,,11/10/2023,27/01/2025,27/01/2025,,,Leaver,Active,Resigned,,,REDACTED,"In previous year, not in current dataset (closed date in Year)"
2747025,Children's home,North West,North West,Liverpool,Liverpool Garston,Private,3,,,11/06/2024,,,,Joiner,,,Active,,,REDACTED,"In current dataset as active, not in previous year"
2748207,Children's home,East Midlands,East Midlands,Nottinghamshire,Rushcliffe,Private,1,,,17/10/2024,,,,Joiner,,,Active,,,REDACTED,"In current dataset as active, not in previous year"
2750697,Supported Accommodation,West Midlands,West Midlands,Sandwell,Tipton and Wednesbury,Private,44,15,,15/05/2024,,,,Joiner,,,Active,,,Sanctuary Ltd Support Services,"In current dataset as active, not in previous year"
2754635,Supported Accommodation,West Midlands,West Midlands,Wolverhampton,Wolverhampton West,Private,5,2,,26/05/2024,,,,Joiner,,,Active,,,Majestic Healthcare Limited,"In current dataset as active, not in previous year"
2754637,Supported Accommodation,London,London,Merton,Mitcham and Morden,Private,6,2,,22/04/2024,,,,Joiner,,,Active,,,Full Circle Support UK Ltd,"In current dataset as active, not in previous year"
2757265,Supported Accommodation,London,London,Harrow,Harrow East,Private,4,1,,23/10/2024,,,,Joiner,,,Active,,,Francis Homecare Semi-Independent Children & Young People's Home,"In current dataset as active, not in previous year"
