Table 3b: List of children's homes de-registrations (leavers) between 1 April 2016 and 31 March 2017,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Date closed
1155776,Children's home,North West,North West,Lancashire,Private,6,14/11/2016
1222092,Children's home,North West,North West,Lancashire,Private,2,17/02/2017
SC007956,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Voluntary,6,31/01/2017
SC008596,Children's home,North West,North West,Stockport,Voluntary,8,13/07/2016
SC010087,Children's home,North West,North West,Lancashire,Private,4,05/04/2016
SC026644,Residential special school (registered as a children's home),South West,South West,Bristol,Voluntary,48,14/04/2016
SC031015,Children's home,North West,North West,Manchester,Local Authority,6,30/11/2016
SC032240,Children's home,North West,North West,Liverpool,Local Authority,6,08/08/2016
SC032300,Children's home,East Midlands,East Midlands,Leicestershire,Local Authority,7,22/06/2016
SC032715,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Local Authority,6,31/03/2017
SC032723,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Local Authority,7,31/03/2017
SC032725,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Local Authority,6,31/03/2017
SC033408,Children's home,East of England,East of England,Cambridgeshire,Local Authority,7,30/11/2016
SC033539,Children's home,North West,North West,Manchester,Local Authority,6,28/10/2016
SC033629,Children's home,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Local Authority,6,01/09/2016
SC033664,Children's home,West Midlands,West Midlands,Birmingham,Local Authority,8,01/10/2016
SC033672,Children's home,West Midlands,West Midlands,Birmingham,Local Authority,5,01/10/2016
SC033696,Children's home,West Midlands,West Midlands,Birmingham,Local Authority,6,01/10/2016
SC033699,Children's home,West Midlands,West Midlands,Birmingham,Local Authority,5,01/10/2016
SC034168,Children's home,North West,North West,Westmorland and Furness,Local Authority,7,01/02/2017
SC034197,Children's home,North West,North West,Lancashire,Private,5,15/11/2016
SC034609,Children's home,London,London,Islington,Local Authority,6,25/07/2016
SC034627,Children's home,London,London,Merton,Local Authority,7,27/01/2017
SC034825,Children's home,North West,North West,Rochdale,Local Authority,5,01/05/2016
SC035450,Children's home,North West,North West,Lancashire,Local Authority,6,10/01/2017
SC035678,Children's home,London,London,Ealing,Local Authority,9,24/07/2016
SC036347,Children's home,South West,South West,Gloucestershire,Local Authority,6,09/12/2016
SC036774,Children's home,"North East, Yorkshire and the Humber",North East,Gateshead,Local Authority,5,06/09/2016
SC037330,Children's home,South East,South East,Portsmouth,Local Authority,6,04/07/2016
SC037369,Children's home,South East,South East,Kent,Voluntary,9,10/06/2016
SC037371,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Rotherham,Local Authority,5,10/10/2016
SC037941,Children's home,North West,North West,Westmorland and Furness,Local Authority,7,01/02/2017
SC041018,Children's home,North West,North West,Wigan,Local Authority,6,31/07/2016
SC042037,Children's home,North West,North West,Manchester,Local Authority,5,08/03/2017
SC043539,Children's home,West Midlands,West Midlands,Dudley,Local Authority,6,30/11/2016
SC049382,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,17/05/2016
SC050176,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,12/01/2017
SC055357,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Local Authority,6,31/03/2017
SC059488,Children's home,North West,North West,Liverpool,Private,2,02/12/2016
SC059494,Children's home,North West,North West,Liverpool,Private,6,02/12/2016
SC061431,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,27/05/2016
SC062199,Children's home,East Midlands,East Midlands,Leicestershire,Private,2,31/08/2016
SC062464,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,06/10/2016
SC062475,Children's home,North West,North West,Rochdale,Private,1,23/08/2016
SC062537,Children's home,North West,North West,Halton,Local Authority,4,28/10/2016
SC062644,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Local Authority,6,31/03/2017
SC062782,Children's home,North West,North West,Blackpool,Private,3,18/09/2016
SC063059,Children's home,North West,North West,Warrington,Private,4,16/12/2016
SC063080,Children's home,London,London,Croydon,Private,5,04/01/2017
SC064549,Children's home,East of England,East of England,Luton,Voluntary,6,03/10/2016
SC064569,Children's home,London,London,Harrow,Private,5,28/03/2017
SC066549,Children's home,North West,North West,Trafford,Local Authority,2,30/04/2016
SC068392,Children's home,London,London,Ealing,Private,4,31/08/2016
SC068770,Children's home,East of England,East of England,Suffolk,Private,4,30/01/2017
SC356312,Children's home,West Midlands,West Midlands,Herefordshire,Private,3,30/03/2017
SC357166,Children's home,West Midlands,West Midlands,Birmingham,Local Authority,6,01/10/2016
SC358266,Children's home,South West,South West,Wiltshire,Private,2,08/09/2016
SC360834,Children's home,South West,South West,Devon,Private,4,06/10/2016
SC362233,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,31/01/2017
SC362610,Children's home,South West,South West,Devon,Private,1,31/12/2016
SC363364,Children's home,South West,South West,Somerset,Private,4,11/07/2016
SC365647,Children's home,East of England,East of England,Hertfordshire,Voluntary,3,30/09/2016
SC368399,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,26/07/2016
SC368821,Children's home,London,London,Sutton,Private,6,31/10/2016
SC369339,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Rotherham,Local Authority,5,10/10/2016
SC378200,Children's home,South West,South West,Somerset,Private,3,21/09/2016
SC382715,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,26/09/2016
SC383879,Children's home,South West,South West,Wiltshire,Private,1,08/09/2016
SC384466,Children's home,London,London,Waltham Forest,Private,3,31/05/2016
SC384670,Children's home,South West,South West,"Bournemouth, Christchurch & Poole",Private,5,05/05/2016
SC387672,Children's home,North West,North West,Manchester,Private,5,30/11/2016
SC392602,Children's home,North West,North West,Westmorland and Furness,Private,3,15/02/2017
SC393048,Residential special school (registered as a children's home),East of England,East of England,Cambridgeshire,Voluntary,33,12/05/2016
SC394224,Children's home,North West,North West,Cheshire East,Local Authority,4,30/03/2017
SC396201,Children's home,North West,North West,Lancashire,Private,3,18/08/2016
SC398947,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,6,31/07/2016
SC399206,Residential special school (registered as a children's home),East of England,East of England,Norfolk,Private,26,30/07/2016
SC402658,Residential special school (registered as a children's home),North West,North West,Lancashire,Private,36,03/01/2017
SC403411,Children's home,London,London,Hounslow,Private,4,11/10/2016
SC403956,Children's home,North West,North West,Lancashire,Private,2,28/06/2016
SC404993,Residential special school (registered as a children's home),South West,South West,"Bournemouth, Christchurch & Poole",Voluntary,36,17/12/2016
SC407245,Children's home,North West,North West,Blackpool,Private,1,18/08/2016
SC408622,Children's home,West Midlands,West Midlands,Staffordshire,Private,5,14/11/2016
SC413156,Children's home,North West,North West,Rochdale,Private,2,13/09/2016
SC417395,Children's home,South East,South East,West Sussex,Private,2,16/05/2016
SC418700,Children's home,South East,South East,West Sussex,Private,5,28/03/2017
SC425921,Children's home,East of England,East of England,Luton,Voluntary,6,29/04/2016
SC426684,Children's home,North West,North West,Manchester,Private,3,30/06/2016
SC427338,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Private,2,03/06/2016
SC430759,Residential special school (registered as a children's home),South East,South East,Oxfordshire,Voluntary,8,31/10/2016
SC431603,Children's home,North West,North West,Liverpool,Private,3,30/11/2016
SC432140,Residential special school (registered as a children's home),South West,South West,Devon,Local Authority,25,11/04/2016
SC434100,Children's home,London,London,Enfield,Private,3,07/11/2016
SC434837,Children's home,South East,South East,Reading,Private,3,09/08/2016
SC434999,Children's home,North West,North West,Blackpool,Private,2,21/12/2016
SC435001,Children's home,North West,North West,Blackpool,Private,1,19/10/2016
SC436992,Children's home,North West,North West,Wirral,Private,3,02/12/2016
SC441973,Children's home,North West,North West,Cumberland,Health Authority,5,17/01/2017
SC443081,Children's home,South West,South West,Somerset,Private,2,01/04/2016
SC443758,Children's home,East of England,East of England,Norfolk,Private,8,26/01/2017
SC444376,Children's home,South West,South West,Devon,Voluntary,5,25/07/2016
SC449331,Residential special school (registered as a children's home),South West,South West,South Gloucestershire,Voluntary,6,17/02/2017
SC450991,Children's home,East of England,East of England,Norfolk,Voluntary,8,30/06/2016
SC451511,Children's home,South East,South East,Southampton,Private,7,08/10/2016
SC454985,Children's home,South West,South West,Somerset,Private,3,01/12/2016
SC456724,Children's home,South East,South East,West Sussex,Private,4,01/03/2017
SC457015,Children's home,East of England,East of England,Essex,Private,2,01/03/2017
SC457364,Children's home,North West,North West,Wirral,Private,2,03/03/2017
SC457424,Children's home,North West,North West,Wirral,Private,1,31/01/2017
SC457428,Children's home,North West,North West,Sefton,Private,2,10/03/2017
SC457507,Children's home,North West,North West,Wirral,Private,3,01/11/2016
SC457554,Children's home,North West,North West,Sefton,Private,1,31/01/2017
SC457557,Children's home,North West,North West,Wirral,Private,2,26/03/2017
SC457560,Children's home,North West,North West,Wirral,Private,2,07/02/2017
SC457776,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,11/07/2016
SC457855,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,3,01/10/2016
SC458348,Children's home,East Midlands,East Midlands,Leicester,Private,4,27/01/2017
SC459643,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,East Riding of Yorkshire,Private,1,13/06/2016
SC460910,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,13/06/2016
SC462804,Children's home,North West,North West,Salford,Private,2,31/03/2017
SC463704,Children's home,West Midlands,West Midlands,Birmingham,Private,3,07/12/2016
SC464402,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,31/08/2016
SC466315,Children's home,South East,South East,Hampshire,Private,4,05/05/2016
SC468019,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,4,06/02/2017
SC469467,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,4,14/11/2016
SC469627,Children's home,North West,North West,Cheshire East,Voluntary,4,31/03/2017
SC469994,Children's home,South West,South West,Devon,Private,16,01/07/2016
SC472114,Children's home,North West,North West,Sefton,Private,2,20/02/2017
SC473335,Children's home,South East,South East,West Berkshire,Private,2,19/12/2016
SC473810,Children's home,North West,North West,Knowsley,Private,3,29/04/2016
SC475121,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Barnsley,Private,5,13/10/2016
SC475578,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,3,19/09/2016
SC475742,Children's home,North West,North West,Lancashire,Private,9,30/06/2016
SC476332,Children's home,East Midlands,East Midlands,Derbyshire,Private,6,30/11/2016
SC477839,Children's home,London,London,Barnet,Private,3,08/06/2016
SC478729,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,10/08/2016
SC479081,Children's home,North West,North West,Lancashire,Private,2,24/10/2016
